product_id,purchases,views,conversion_rate
prod_16,68,561,0.12121212121212122
prod_7,75,522,0.14367816091954022
prod_14,73,530,0.13773584905660377
prod_17,82,559,0.14669051878354203
prod_10,73,558,0.13082437275985664
prod_13,84,568,0.14788732394366197
prod_1,69,573,0.12041884816753927
prod_6,79,541,0.14602587800369685
prod_8,69,556,0.12410071942446044
prod_11,94,554,0.16967509025270758
prod_3,73,556,0.13129496402877697
prod_20,73,531,0.1374764595103578
prod_4,70,556,0.12589928057553956
prod_18,79,552,0.1431159420289855
prod_15,93,537,0.17318435754189945
prod_5,80,530,0.1509433962264151
prod_9,81,562,0.14412811387900357
prod_2,80,520,0.15384615384615385
prod_12,70,568,0.12323943661971831
prod_19,70,547,0.12797074954296161
